Data,Open0,Close0,Max0,Min0,Vol0,Open1,Close1,Max1,Min1,Vol1,Open2,Close2,Max2,Min2,Vol2,OpenMA15,CloseMA15,MaxMA15,MinMA15,VolumeMA15,OpenMA30,CloseMA30,MaxMA30,MinMA30,VolumeMA30,OpenMA45,CloseMA45,MaxMA45,MinMA45,VolumeMA45,Williams%R(10),MACD,RSI(14),InflacjaCPIMM,Kurs USD/PLN,Wibor ON,Wibid ON,BrentOil,Zloto,NextDayClosing
4/8/2010,2536.41,2522.36,2551.05,2517.96,109389720,2569.5,2561.5,2575.09,2540.83,111087277,2565.41,2575.36,2576.75,2550.34,111688524,2492.6626666666666666666666667,2492.1073333333333333333333333,2512.7786666666666666666666667,2474.668,105447042,2418.3156666666666666666666667,2423.0873333333333333333333333,2439.5723333333333333333333333,2400.91,97452090,2367.2411111111111111111111111,2363.2524444444444444444444444,2385.3042222222222222222222222,2344.5991111111111111111111111,93387612,-38.211324996487283967964029790,0,64.67022493328250095310712924,0.4,-0.03230,3.31,3.01,0.0573,3483,2553.58
4/9/2010,2545.83,2553.58,2559.92,2541.36,110743851,2536.41,2522.36,2551.05,2517.96,109389720,2569.5,2561.5,2575.09,2540.83,111087277,2497.6493333333333333333333333,2497.9473333333333333333333333,2516.9813333333333333333333333,2480.6046666666666666666666667,106582624,2428.7373333333333333333333333,2433.7706666666666666666666667,2450.1333333333333333333333333,2411.6676666666666666666666667,98314898,2370.5384444444444444444444444,2367.022,2388.8082222222222222222222222,2348.286,93835414,-19.565951697348420874852220910,0,69.375841939829366861248316121,0.4,-0.03230,3.31,3.01,0.0573,3483,2578.66
4/12/2010,2547.91,2578.66,2579.19,2547.91,111831494,2545.83,2553.58,2559.92,2541.36,110743851,2536.41,2522.36,2551.05,2517.96,109389720,2503.5353333333333333333333333,2506.8313333333333333333333333,2524.132,2487.9826666666666666666666667,107842870,2439.1356666666666666666666667,2446.4473333333333333333333333,2461.1683333333333333333333333,2423.76,99257945,2374.438,2373.5268888888888888888888889,2393.2282222222222222222222222,2354.1075555555555555555555556,94390153,-0.5375253549695740365111561900,0,72.695389169535699346825830947,0.4,-0.03230,3.31,3.01,0.0573,3483,2587.69
4/13/2010,2569.77,2587.69,2589.92,2566.72,112222901,2547.91,2578.66,2579.19,2547.91,111831494,2545.83,2553.58,2559.92,2541.36,110743851,2511.7786666666666666666666667,2516.5846666666666666666666667,2530.8933333333333333333333333,2498.15,109139370,2450.9253333333333333333333333,2457.2033333333333333333333333,2471.9986666666666666666666667,2435.7903333333333333333333333,100129615,2381.3702222222222222222222222,2382.2388888888888888888888889,2400.6082222222222222222222222,2362.3535555555555555555555556,95029834,-2.0396963322052501600658556700,0,71.823222764551582162898031012,0.4,-0.03230,3.31,3.01,0.0573,3483,2604.76
4/14/2010,2589.3,2604.76,2607.97,2575.18,112963261,2569.77,2587.69,2589.92,2566.72,112222901,2547.91,2578.66,2579.19,2547.91,111831494,2521.3253333333333333333333333,2527.7293333333333333333333333,2541.4486666666666666666666667,2509.0346666666666666666666667,109622689,2461.235,2467.7336666666666666666666667,2482.636,2446.2456666666666666666666667,100995760,2389.558,2391.4702222222222222222222222,2408.9244444444444444444444444,2371.4642222222222222222222222,95691292,-2.7309851965288412455334354300,0,75.940387869321879474163738123,0.4,-0.03230,3.31,3.01,0.0573,3483,2601.01
4/15/2010,2617.35,2601.01,2619.13,2579.17,112800726,2589.3,2604.76,2607.97,2575.18,112963261,2569.77,2587.69,2589.92,2566.72,112222901,2532.434,2537.3806666666666666666666667,2551.4426666666666666666666667,2517.90,110041254,2472.1506666666666666666666667,2476.1813333333333333333333333,2491.469,2456.424,101782101,2398.474,2400.2644444444444444444444444,2417.5442222222222222222222222,2379.7731111111111111111111111,96335691,-14.079254079254079254079254080,0,70.26333920232718364847278573,0.4,-0.03230,3.31,3.01,0.0573,3483,2594.83
4/16/2010,2583.21,2594.83,2605.62,2574.57,112532907,2617.35,2601.01,2619.13,2579.17,112800726,2589.3,2604.76,2607.97,2575.18,112963261,2539.8966666666666666666666667,2547.348,2559.6726666666666666666666667,2527.244,110473533,2479.7216666666666666666666667,2484.091,2499.479,2464.4253333333333333333333333,102546901,2406.5728888888888888888888889,2408.7017777777777777777777778,2425.5382222222222222222222222,2387.8117777777777777777777778,96965796,-22.281313038694296717403264260,0,68.578600329686797542334781957,0.4,-0.03230,3.31,3.01,0.0573,3483,2534.38
4/19/2010,2542.55,2534.38,2550.3,2512.33,109911257,2583.21,2594.83,2605.62,2574.57,112532907,2617.35,2601.01,2619.13,2579.17,112800726,2545.228,2549.9646666666666666666666667,2562.34,2530.844,110587032,2486.2726666666666666666666667,2489.8496666666666666666666667,2505.2606666666666666666666667,2470.2786666666666666666666667,103219139,2413.3344444444444444444444444,2416.7268888888888888888888889,2432.4706666666666666666666667,2395.3551111111111111111111111,97573023,-79.35393258426966292134831461,0,57.731731163465480808654240389,0.4,-0.03230,3.31,3.01,0.0573,3483,2569.41
4/20/2010,2550.99,2569.41,2576.13,2538.49,111430256,2542.55,2534.38,2550.3,2512.33,109911257,2583.21,2594.83,2605.62,2574.57,112532907,2548.77,2554.882,2566.5113333333333333333333333,2534.504,110800282,2492.422,2495.851,2511.2836666666666666666666667,2476.284,103906853,2421.0462222222222222222222222,2424.5646666666666666666666667,2440.2704444444444444444444444,2403.0666666666666666666666667,98177305,-46.554307116104868913857677900,0,59.536245886295703632136710848,0.4,-0.03230,3.31,3.01,0.0573,3483,2545.99
4/21/2010,2595.68,2545.99,2596.1,2545.99,110414603,2550.99,2569.41,2576.13,2538.49,111430256,2542.55,2534.38,2550.3,2512.33,109911257,2555.002,2558.9246666666666666666666667,2571.3666666666666666666666667,2538.864,110975618,2498.8653333333333333333333333,2500.499,2517.602,2481.7673333333333333333333333,104538951,2429.1626666666666666666666667,2430.938,2447.7573333333333333333333333,2410.3508888888888888888888889,98723146,-68.483146067415730337078651690,0,57.324340823861158754614959738,0.4,-0.03230,3.31,3.01,0.0573,3483,2483.68
4/22/2010,2548.72,2483.68,2559.41,2483.31,107712469,2595.68,2545.99,2596.1,2545.99,110414603,2550.99,2569.41,2576.13,2538.49,111430256,2557.8513333333333333333333333,2557.4206666666666666666666667,2574.4213333333333333333333333,2538.3106666666666666666666667,110910387,2503.817,2503.4923333333333333333333333,2522.8996666666666666666666667,2485.3933333333333333333333333,105097029,2435.1975555555555555555555556,2436.3635555555555555555555556,2453.9666666666666666666666667,2416.0473333333333333333333333,99225539,-99.72758062141069061993815344,0,40.151688609044075558099599316,0.4,-0.03230,3.31,3.01,0.0573,3483,2514.63
4/23/2010,2502.77,2514.63,2514.63,2494.85,109054717,2548.72,2483.68,2559.41,2483.31,107712469,2595.68,2545.99,2596.1,2545.99,110414603,2558.416,2558.6893333333333333333333333,2574.2473333333333333333333333,2538.6053333333333333333333333,110965404,2507.5303333333333333333333333,2506.9073333333333333333333333,2525.8843333333333333333333333,2489.105,105676674,2439.9493333333333333333333333,2441.5348888888888888888888889,2458.9571111111111111111111111,2421.026,99721964,-76.940067736710351936386393760,0,41.506056113457719097037679378,0.4,-0.03230,3.31,3.01,0.0573,3483,2577.26
4/26/2010,2550.09,2577.26,2582.49,2550.09,111770635,2502.77,2514.63,2514.63,2494.85,109054717,2548.72,2483.68,2559.41,2483.31,107712469,2561.0326666666666666666666667,2560.34,2576.2466666666666666666666667,2541.2733333333333333333333333,111036973,2512.234,2512.7143333333333333333333333,2531.331,2494.1273333333333333333333333,106358415,2446.1424444444444444444444444,2448.7902222222222222222222222,2465.8155555555555555555555556,2427.8084444444444444444444444,100305053,-30.827565896038874981593285230,0,51.939644562595382267513415055,0.4,-0.03230,3.31,3.01,0.0573,3483,2535.67
4/27/2010,2566.04,2535.67,2580.16,2535.67,109967096,2550.09,2577.26,2582.49,2550.09,111770635,2502.77,2514.63,2514.63,2494.85,109054717,2561.0746666666666666666666667,2557.694,2576.474,2540.2953333333333333333333333,110922211,2517.2596666666666666666666667,2516.7093333333333333333333333,2535.832,2498.3556666666666666666666667,106963862,2453.6768888888888888888888889,2455.15,2472.6857777777777777777777778,2434.7351111111111111111111111,100849147,-61.448976586658813135031659550,0,51.628293900320520662572484158,0.4,-0.03230,3.31,3.01,0.0573,3483,2486.53
4/28/2010,2502.79,2486.53,2515.49,2472.76,107835837,2566.04,2535.67,2580.16,2535.67,109967096,2550.09,2577.26,2582.49,2550.09,111770635,2556.6273333333333333333333333,2552.696,2572.5006666666666666666666667,2535.7573333333333333333333333,110705448,2520.1456666666666666666666667,2519.8343333333333333333333333,2539.116,2501.269,107527444,2458.5826666666666666666666667,2460.0217777777777777777777778,2477.8135555555555555555555556,2439.5928888888888888888888889,101330837,-90.59233449477351916376306620,0,42.141902819773574291540679276,0.4,-0.03230,3.31,3.01,0.0573,3483,2534.41
4/29/2010,2500.45,2534.41,2541.59,2488.27,109912252,2502.79,2486.53,2515.49,2472.76,107835837,2566.04,2535.67,2580.16,2535.67,109967096,2554.23,2553.4993333333333333333333333,2571.87,2533.778,110740284,2523.4463333333333333333333333,2522.8033333333333333333333333,2542.3243333333333333333333333,2504.223,108093663,2463.6204444444444444444444444,2466.558,2483.6715555555555555555555556,2445.1993333333333333333333333,101881488,-53.597772090922775854282703600,0,45.077097657032240838395300714,0.4,-0.03230,3.31,3.01,0.0573,3483,2547.52
4/30/2010,2567.59,2547.52,2575.01,2544.12,110480979,2500.45,2534.41,2541.59,2488.27,109912252,2502.79,2486.53,2515.49,2472.76,107835837,2555.6806666666666666666666667,2553.0953333333333333333333333,2572.876,2533.962,110722759,2526.665,2525.5213333333333333333333333,2544.9286666666666666666666667,2507.2833333333333333333333333,108652692,2471.0517777777777777777777778,2473.5455555555555555555555556,2491.0475555555555555555555556,2452.4324444444444444444444444,102450852,-39.387060158910329171396140750,0,45.571211219157240193160018522,0.4,-0.03230,3.31,3.01,0.0573,3483,2452.7
5/4/2010,2566.41,2452.7,2567.55,2451.29,106368797,2567.59,2547.52,2575.01,2544.12,110480979,2500.45,2534.41,2541.59,2488.27,109912252,2556.914,2544.698,2572.10,2527.5206666666666666666666667,110358579,2530.2246666666666666666666667,2525.7646666666666666666666667,2548.116,2507.7516666666666666666666667,109100725,2478.3951111111111111111111111,2479.1975555555555555555555556,2498.1455555555555555555555556,2458.3468888888888888888888889,102958156,-99.02631033768386161176714315,0,35.688739976659262884463351277,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2414.46
5/5/2010,2446.51,2414.46,2452.52,2395.58,104710526,2566.41,2452.7,2567.55,2451.29,106368797,2567.59,2547.52,2575.01,2544.12,110480979,2548.6966666666666666666666667,2533.1493333333333333333333333,2562.94,2516.1113333333333333333333333,109857754,2530.2376666666666666666666667,2524.867,2546.9166666666666666666666667,2507.1306666666666666666666667,109498562,2483.5157777777777777777777778,2482.5186666666666666666666667,2502.3124444444444444444444444,2462.564,103372328,-90.58448035108717334929184121,0,33.513035793194874060980998675,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2397.6
5/6/2010,2401.89,2397.6,2436.4,2393.21,103979164,2446.51,2414.46,2452.52,2395.58,104710526,2566.41,2452.7,2567.55,2451.29,106368797,2536.2026666666666666666666667,2519.3386666666666666666666667,2551.502,2503.98,109258814,2528.764,2523.534,2546.4753333333333333333333333,2506.5073333333333333333333333,109440752,2486.2242222222222222222222222,2484.9353333333333333333333333,2505.5913333333333333333333333,2465.4904444444444444444444444,103750112,-97.68068469991546914623837701,0,32.89211179154450670506392797,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2336.99
5/7/2010,2336.66,2336.99,2386.38,2334.9,101350577,2401.89,2397.6,2436.4,2393.21,103979164,2446.51,2414.46,2452.52,2395.58,104710526,2517.49,2501.7373333333333333333333333,2535.9853333333333333333333333,2487.6953333333333333333333333,108495471,2524.962,2519.559,2543.714,2502.7976666666666666666666667,109268362,2487.2637777777777777777777778,2484.70,2506.3077777777777777777777778,2466.8477777777777777777777778,104019891,-99.15586251464114059533906862,0,32.8829844430184359770374096,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2458.36
5/10/2010,2415.37,2458.36,2458.36,2410.49,106614108,2336.66,2336.99,2386.38,2334.9,101350577,2401.89,2397.6,2436.4,2393.21,103979164,2506.3006666666666666666666667,2492.6393333333333333333333333,2526.168,2476.7566666666666666666666667,108100884,2523.0986666666666666666666667,2519.9936666666666666666666667,2542.9203333333333333333333333,2502.0003333333333333333333333,109287209,2488.5813333333333333333333333,2486.9404444444444444444444444,2508.3753333333333333333333333,2468.5357777777777777777777778,104398229,-50.135304333777616220364311970,0,41.624304225182145927926025371,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2443.52
5/11/2010,2439.04,2443.52,2459.71,2433.52,105970786,2415.37,2458.36,2458.36,2410.49,106614108,2336.66,2336.99,2386.38,2334.9,101350577,2499.40,2486.582,2520.1286666666666666666666667,2471.5026666666666666666666667,107838186,2522.314,2518.2733333333333333333333333,2541.2343333333333333333333333,2501.1733333333333333333333333,109212609,2490.6484444444444444444444444,2488.7604444444444444444444444,2510.2166666666666666666666667,2470.6866666666666666666666667,104758821,-55.712305308652042730163907690,0,42.170092458164590815312905937,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2469.07
5/12/2010,2446.33,2469.07,2482.82,2439.13,107078554,2439.04,2443.52,2459.71,2433.52,105970786,2415.37,2458.36,2458.36,2410.49,106614108,2492.4226666666666666666666667,2479.8926666666666666666666667,2513.908,2464.8786666666666666666666667,107548073,2520.5963333333333333333333333,2517.3873333333333333333333333,2540.2096666666666666666666667,2499.6913333333333333333333333,109174177,2492.4222222222222222222222222,2490.5315555555555555555555556,2512.1584444444444444444444444,2472.4822222222222222222222222,105120593,-44.121444338011744617050518510,0,48.817176443919104907786719346,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2458.51
5/13/2010,2490.12,2458.51,2495.59,2443.35,106620973,2446.33,2469.07,2482.82,2439.13,107078554,2439.04,2443.52,2459.71,2433.52,105970786,2485.3853333333333333333333333,2474.0606666666666666666666667,2507.2073333333333333333333333,2458.036,107295164,2520.1936666666666666666666667,2516.4926666666666666666666667,2539.287,2498.45,109135391,2494.372,2491.6862222222222222222222222,2514.1371111111111111111111111,2473.8568888888888888888888889,105457689,-48.519428595227187539044604560,0,45.301406563965170797052913597,0.3,-0.11040,3.24,2.95,-0.1463,4032.48,2389.61
